url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_questionmarks,num_equals,num_at,num_ampersand,num_percent,num_digits,domain_length,subdomain_length,tld_length,subdomain_count,path_depth,num_params,has_ip,has_port,is_https,entropy,suspicious_word_count,brand_in_subdomain,brand_in_path,suspicious_tld,is_shortened,special_char_ratio,label
108,15,48,36,3,1,0,6,1,2,0,1,0,14,7,3,3,1,4,2,0,0,1,5.29204086402104,0,0,0,0,0,0.1388888888888889,1
28,19,1,0,2,0,0,3,0,0,0,0,0,0,6,8,3,1,0,0,0,0,1,3.8962915290459277,0,0,0,0,0,0.21428571428571427,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.7622673906514947,0,0,0,0,0,0.21739130434782608,0
54,17,29,0,2,0,1,3,0,0,0,0,0,3,7,5,3,1,1,0,0,0,1,4.763965742824081,0,0,0,0,0,0.12962962962962962,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.7254805569978675,0,0,0,0,0,0.2222222222222222,0
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.594465636961452,0,0,0,0,0,0.23809523809523808,0
19,11,0,0,1,0,0,2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,3.6818808028034016,0,0,0,0,0,0.21052631578947367,0
19,11,0,0,2,0,0,2,0,0,0,0,0,0,3,3,3,1,0,0,0,0,1,3.6818808028034016,0,0,0,0,0,0.2631578947368421,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,6,3,3,1,0,0,0,0,1,3.663532754804254,0,0,0,0,0,0.22727272727272727,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.155221528859512,0,0,0,0,0,0.2222222222222222,0
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.689703732199547,0,0,0,0,0,0.23809523809523808,0
21,6,7,0,1,1,0,3,0,0,0,0,0,2,3,0,2,0,1,0,0,0,1,3.8442328987631913,0,0,0,0,0,0.2857142857142857,1
76,25,1,41,2,1,0,3,1,2,0,1,0,23,16,4,3,1,0,2,0,0,1,4.867745237264889,0,0,0,0,0,0.14473684210526316,1
112,35,23,45,5,2,9,3,1,3,0,2,0,4,9,20,4,1,1,3,0,0,1,4.624836964484992,0,0,1,0,0,0.25,1
27,18,1,0,2,0,0,3,0,0,0,0,0,0,6,7,3,1,0,0,0,0,1,3.9302703722934544,0,0,0,0,0,0.2222222222222222,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.7254805569978675,0,0,0,0,0,0.2222222222222222,0
19,11,0,0,2,0,0,2,0,0,0,0,0,0,3,3,3,1,0,0,0,0,1,3.6818808028034016,0,0,0,0,0,0.2631578947368421,0
76,35,26,6,2,1,0,5,1,1,0,0,0,5,6,20,7,1,3,1,0,0,1,4.887610697848137,0,0,0,0,0,0.14473684210526316,1
57,20,29,0,3,1,0,6,0,0,0,0,0,0,8,8,2,1,4,0,0,0,1,4.0846664967657125,1,0,0,0,0,0.19298245614035087,1
